;ID;Education;Income;Kidhome;Teenhome;MntGoldProds;NumDealsPurchases;NumWebVisitsMonth;AcceptedCmp3;AcceptedCmp4;AcceptedCmp5;AcceptedCmp1;AcceptedCmp2;Complain;Response;Age;Rlt_MntWines;Rlt_MntFruits;Rlt_MntMeatProducts;Rlt_MntFishProducts;Rlt_MntSweetProducts;TotalProducts;Rlt_NumWebPurchases;Rlt_NumCatalogPurchases;Rlt_NumStorePurchases;TotalPurchases;MeanPurchase;AcpCamps;Marital_Status_Divorced;Marital_Status_Married;Marital_Status_Single;Marital_Status_Together;Marital_Status_Widow;InterestGroup;ConsumptionLevel
0;5524;3;58138,0;0;0;88;3;7;0;0;0;0;0;0;1;55;41,53;5,76;35,71;11,25;5,76;1529;36,36;45,45;18,18;22;66,52;0;0;0;1;0;0;1;1
1;2174;3;46344,0;1;1;6;2;5;0;0;0;0;0;0;0;60;52,38;4,76;28,57;9,52;4,76;21;25,0;25,0;50,0;4;4,4;0;0;0;1;0;0;1;2
2;4141;3;71613,0;0;0;42;1;4;0;0;0;0;0;0;0;48;58,04;6,68;17,3;15,12;2,86;734;40,0;10,0;50,0;20;35,0;0;0;0;0;1;0;2;1
3;6182;3;26646,0;1;0;5;2;6;0;0;0;0;0;0;0;30;22,92;8,33;41,67;20,83;6,25;48;33,33;0,0;66,67;6;7,0;0;0;0;0;1;0;1;2
4;5324;5;58293,0;1;0;15;5;5;0;0;0;0;0;0;0;33;42,51;10,57;28,99;11,3;6,63;407;35,71;21,43;42,86;14;27,2;0;0;1;0;0;0;1;2
5;7446;4;62513,0;0;1;14;2;6;0;0;0;0;0;0;0;46;74,07;5,98;13,96;0,0;5,98;702;30,0;20,0;50,0;20;33,48;0;0;0;0;1;0;2;1
6;965;3;55635,0;0;1;27;4;6;0;0;0;0;0;0;0;41;41,74;11,55;29,13;8,88;8,7;563;41,18;17,65;41,18;17;31,33;0;1;0;0;0;0;1;1
7;6177;5;33454,0;1;0;23;2;8;0;0;0;0;0;0;0;28;52,05;6,85;38,36;2,05;0,68;146;50,0;0,0;50,0;8;16,33;0;0;1;0;0;0;1;2
8;4855;5;30351,0;1;0;2;1;9;0;0;0;0;0;0;1;39;31,82;0,0;54,55;6,82;6,82;44;60,0;0,0;40,0;5;7,5;0;0;0;0;1;0;1;2
9;5899;5;5648,0;1;1;13;1;20;1;0;0;0;0;0;0;64;77,78;0,0;16,67;2,78;2,78;36;100,0;0,0;0,0;1;18,5;1;0;0;0;1;0;2;2
10;387;1;7500,0;0;0;16;1;8;0;0;0;0;0;0;0;36;13,33;35,56;24,44;24,44;2,22;45;40,0;0,0;60,0;5;7,67;0;0;1;0;0;0;3;2
11;2125;3;63033,0;0;0;30;1;2;0;0;0;0;0;0;0;54;18,1;5,69;44,78;20,99;10,45;1072;20,0;26,67;53,33;15;67,06;0;1;0;0;0;0;1;1
12;8180;4;59354,0;1;1;14;3;6;0;0;0;0;0;0;0;61;78,72;0,68;17,91;1,01;1,69;296;50,0;8,33;41,67;12;22,85;0;1;0;0;0;0;2;2
13;2569;3;17323,0;0;0;5;1;8;0;0;0;0;0;0;0;25;7,32;34,15;41,46;14,63;2,44;41;25,0;0,0;75,0;4;8,4;0;0;1;0;0;0;5;2
14;2114;5;82800,0;0;0;45;1;3;0;0;1;1;0;0;1;66;79,21;1,73;9,06;4,65;5,35;1270;28,0;24,0;48,0;25;48,88;2;0;0;1;0;0;2;1
15;9736;3;41850,0;1;1;4;3;8;0;0;0;0;0;0;0;32;57,61;5,43;20,65;2,17;14,13;92;50,0;0,0;50,0;6;13,29;0;0;1;0;0;0;2;2
16;4939;3;37760,0;0;0;28;2;7;0;0;0;0;0;0;0;66;29,07;1,73;13,15;51,9;4,15;289;36,36;9,09;54,55;11;24,17;0;0;0;0;1;0;3;2
17;6565;4;76995,0;0;1;176;2;5;0;0;0;1;0;0;0;64;63,01;4,98;31,01;0,0;1,0;1606;45,83;16,67;37,5;24;64,28;1;0;1;0;0;0;4;1
18;2278;2;33812,0;1;0;39;2;6;0;0;0;0;0;0;0;27;4,26;18,09;20,21;31,91;25,53;94;33,33;16,67;50,0;6;13,57;0;0;0;1;0;0;3;2
19;9360;3;37040,0;0;0;48;1;8;0;0;0;0;0;0;0;30;32,09;0,75;27,24;25,75;14,18;268;36,36;18,18;45,45;11;22,42;0;0;1;0;0;0;3;2
20;5376;3;2447,0;1;0;1;15;1;0;0;0;0;0;0;0;34;0,06;0,06;99,77;0,06;0,06;1729;0,0;100,0;0,0;28;59,66;0;0;1;0;0;0;1;1
21;1993;5;58607,0;0;1;19;3;8;0;1;0;0;0;0;0;63;90,98;0,0;9,02;0,0;0,0;953;14,29;21,43;64,29;14;63,6;1;0;1;0;0;0;2;1
22;4047;5;65324,0;0;1;5;3;4;0;0;0;0;0;0;0;60;71,24;0,0;18,92;3,9;5,94;539;35,29;11,76;52,94;17;30,0;0;0;1;0;0;0;2;1
23;1409;3;40689,0;0;1;99;7;8;0;0;0;0;0;0;0;62;78,26;0,87;7,83;11,3;1,74;345;53,85;7,69;38,46;13;24,71;0;0;0;0;1;0;2;2
24;7892;3;18589,0;0;0;13;2;7;0;0;0;0;0;0;0;44;9,68;6,45;40,32;24,19;19,35;62;33,33;16,67;50,0;6;9,0;0;0;0;1;0;0;3;2
25;2404;3;53359,0;1;1;41;4;7;0;0;0;0;0;0;0;37;80,09;1,85;13,89;1,39;2,78;216;50,0;10,0;40,0;10;19,73;0;0;1;0;0;0;2;2
26;9422;3;38360,0;1;0;10;2;3;0;0;0;0;0;0;0;24;29,75;1,65;34,71;16,53;17,36;121;28,57;14,29;57,14;7;15,25;0;0;1;0;0;0;1;2
27;1966;5;84618,0;0;0;0;1;2;0;0;1;0;0;0;0;48;40,91;5,98;47,91;1,26;3,95;1672;24,0;36,0;40,0;25;64,35;1;0;1;0;0;0;1;1
28;6864;4;10979,0;0;0;4;2;5;0;0;0;0;0;0;0;25;30,77;15,38;38,46;7,69;7,69;26;50,0;0,0;50,0;6;3,86;0;1;0;0;0;0;1;2
29;3033;4;38620,0;0;0;89;1;3;0;0;0;0;0;0;0;50;48,91;7,42;19,21;14,85;9,61;229;20,0;50,0;30,0;10;20,91;0;0;0;0;1;0;4;2
30;5710;3;40548,0;0;1;3;2;5;0;1;0;0;0;0;0;42;94,02;0,0;4,27;1,71;0,0;117;28,57;14,29;57,14;7;14,75;1;0;0;0;1;0;2;2
31;7373;5;46610,0;0;2;43;6;6;0;0;0;0;0;0;1;60;37,07;4,63;37,07;12,74;8,49;259;36,36;9,09;54,55;11;21,67;0;1;0;0;0;0;1;2
32;8755;4;68657,0;0;0;22;1;7;0;0;0;0;0;0;0;67;41,06;2,9;40,12;10,14;5,79;1174;17,65;29,41;52,94;17;65,28;0;0;1;0;0;0;1;1
