;Eficiencia;Eficiencia;Lucro_por_Disparo;Lucro_por_Disparo;Percentual_Disparos;Percentual_Disparos;Acuracia;Acuracia;Precisao;Precisao;Recall;Recall;lucro_pior_cenario_10k;lucro_provavel_10k;lucro_melhor_cenario_10k
;mean;std;mean;std;mean;std;mean;std;mean;std;mean;std;;;
Cutoff;;;;;;;;;;;;;;;
0,15;16,5;5,89;1,34;0,55;20,78;2,52;0,81;0,02;0,39;0,05;0,55;0,05;377,76000000000005;2784,52;6300,080000000001
0,2;17,72;4,89;1,59;0,57;19,16;2,35;0,82;0,02;0,42;0,05;0,52;0,05;650,7000000000003;3046,44;6513,78
0,25;17,63;4,71;2,02;0,76;15,36;3,01;0,83;0,02;0,46;0,07;0,45;0,07;467,0;3102,7200000000003;7568,5199999999995
0,3;18,75;4,3;2,71;0,75;11,67;1,79;0,85;0,01;0,52;0,07;0,4;0,06;978,89;3162,5699999999997;6420,25
0,35;16,92;4,17;2,93;0,77;9,82;2,24;0,86;0,01;0,54;0,07;0,35;0,07;742,26;2877,26;6392,100000000001
0,4;16,05;3,62;3,7;0,97;7,45;1,67;0,86;0,01;0,61;0,09;0,3;0,06;723,3600000000001;2756,5;6085,56
0,45;14,98;3,58;3,87;0,92;6,37;1,18;0,87;0,01;0,62;0,08;0,27;0,05;814,03;2465,19;4984,83
0,5;13,62;3,66;4,32;1,2;5,19;1,19;0,87;0,01;0,67;0,11;0,23;0,05;539,5200000000002;2242,0800000000004;5087,04
0,55;13,23;3,42;4,79;1,21;4,62;1,09;0,87;0,01;0,71;0,11;0,22;0,05;578,28;2212,98;4902,8
0,6;12,04;3,24;5,1;0,99;4,02;1,0;0,87;0,01;0,74;0,09;0,19;0,04;630,2399999999998;2050,1999999999994;4262,16
0,65;10,11;3,19;4,78;1,33;3,6;0,98;0,86;0,01;0,71;0,12;0,17;0,04;347,68;1720,8000000000002;4136,64
0,7;7,86;2,55;5,14;1,44;2,66;0,88;0,86;0,02;0,74;0,13;0,13;0,04;203,40000000000003;1367,24;3544,84
